CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ano
21,LC,30842,B,13.0,0,,0.35878,5.45136,0.16296,AZUL,577,,0.0,2020
22,LC,111838,A,2.0,0,,1.06929,-0.44002,0.01379,AZUL,577,,0.0,2020
23,LC,17413,A,22.0,0,,2.78735,1.75256,0.1497,AZUL,577,,0.0,2020
24,LC,112151,D,27.0,0,,3.32308,1.49208,0.18606,AZUL,577,,0.0,2020
25,LC,15001,A,12.0,0,,1.61694,1.83853,0.26085,AZUL,577,,0.0,2020
26,LC,64056,D,30.0,0,,1.59796,-0.16732,0.19647,AZUL,577,,0.0,2020
27,LC,76967,D,18.0,0,,1.73723,-0.11868,0.05058,AZUL,577,,0.0,2020
28,LC,11437,E,14.0,0,,1.16098,1.0073,0.21912,AZUL,577,,0.0,2020
29,LC,12204,B,23.0,0,,1.62712,0.53489,0.10236,AZUL,577,,0.0,2020
30,LC,32400,B,21.0,0,,2.17398,1.80746,0.14684,AZUL,577,,0.0,2020
31,LC,111850,E,1.0,0,,1.40709,0.81183,0.17507,AZUL,577,,0.0,2020
32,LC,84295,B,23.0,0,,1.28796,0.07454,0.01332,AZUL,577,,0.0,2020
33,LC,111915,A,4.0,0,,1.84353,0.86234,0.24868,AZUL,577,,0.0,2020
34,LC,16501,A,16.0,0,,2.14866,2.2551,0.25595,AZUL,577,,0.0,2020
35,LC,44328,A,9.0,0,,1.7744,0.02359,0.1871,AZUL,577,,0.0,2020
36,LC,96814,D,11.0,0,,1.70534,0.36247,0.17758,AZUL,577,,0.0,2020
37,LC,86091,E,10.0,0,,1.43863,1.09024,0.12537,AZUL,577,,0.0,2020
38,LC,111989,A,24.0,0,,1.48285,1.91416,0.16479,AZUL,577,,0.0,2020
39,LC,111903,C,3.0,0,,2.2083,0.2591,0.17176,AZUL,577,,0.0,2020
40,LC,11966,A,18.0,0,,1.22111,1.6828,0.21162,AZUL,577,,0.0,2020
41,LC,18128,A,26.0,0,,2.46437,1.68698,0.1109,AZUL,577,,0.0,2020
42,LC,112087,A,10.0,0,,2.07488,0.54207,0.20064,AZUL,577,,0.0,2020
43,LC,33271,D,29.0,0,,2.51134,-0.5151,0.0477,AZUL,577,,0.0,2020
44,LC,35684,B,21.0,0,,1.47886,0.19951,0.22972,AZUL,577,,0.0,2020
45,LC,20652,B,15.0,0,,2.46676,2.21741,0.13534,AZUL,577,,0.0,2020
46,CH,112017,D,8.0,0,,3.53336,1.34087,0.13677,AZUL,567,,0.0,2020
47,CH,111987,A,17.0,0,,2.47767,1.82861,0.30933,AZUL,567,,0.0,2020
48,CH,111788,B,16.0,0,,2.15838,1.83008,0.13413,AZUL,567,,0.0,2020
49,CH,43978,C,13.0,0,,3.11394,1.33811,0.15766,AZUL,567,,0.0,2020
50,CH,84333,B,19.0,0,,1.33904,-0.24666,0.20167,AZUL,567,,0.0,2020
51,CH,111924,D,6.0,0,,1.04807,0.55132,0.21946,AZUL,567,,0.0,2020
52,CH,89808,D,15.0,0,,2.10695,0.73908,0.14776,AZUL,567,,0.0,2020
53,CH,112106,D,27.0,0,,1.93888,0.76774,0.16887,AZUL,567,,0.0,2020
54,CH,87040,A,5.0,0,,3.86355,0.08927,0.13133,AZUL,567,,0.0,2020
55,CH,111912,E,1.0,0,,1.63342,3.51778,0.12276,AZUL,567,,0.0,2020
56,CH,112103,D,30.0,0,,1.73079,1.00147,0.27,AZUL,567,,0.0,2020
57,CH,111968,B,7.0,0,,2.04864,2.07959,0.11925,AZUL,567,,0.0,2020
58,CH,112012,E,19.0,0,,1.34049,1.03565,0.19675,AZUL,567,,0.0,2020
59,CH,88041,C,29.0,0,,1.30366,1.05118,0.23195,AZUL,567,,0.0,2020
60,CH,87216,E,2.0,0,,1.94651,1.07266,0.32936,AZUL,567,,0.0,2020
61,CH,112065,C,9.0,0,,1.41212,1.60777,0.2112,AZUL,567,,0.0,2020
62,CH,42444,B,12.0,0,,2.20063,1.67407,0.24121,AZUL,567,,0.0,2020
63,CH,15291,B,23.0,0,,4.43583,1.68003,0.27045,AZUL,567,,0.0,2020
64,CH,87999,E,8.0,0,,3.04125,1.73772,0.29717,AZUL,567,,0.0,2020
65,CH,111792,D,6.0,0,,2.99705,1.18132,0.18751,AZUL,567,,0.0,2020
66,CH,88307,E,3.0,0,,1.28092,-0.03828,0.18724,AZUL,567,,0.0,2020
67,CH,97979,B,30.0,0,,1.63948,3.22867,0.14221,AZUL,567,,0.0,2020
68,CH,111815,D,2.0,0,,2.05053,0.95988,0.14344,AZUL,567,,0.0,2020
69,CH,84269,E,12.0,0,,2.31975,1.58949,0.11892,AZUL,567,,0.0,2020
70,CH,35686,E,7.0,0,,1.92473,1.50185,0.12074,AZUL,567,,0.0,2020
71,CH,111917,C,26.0,0,,1.72233,0.22539,0.22096,AZUL,567,,0.0,2020
72,CH,85290,B,3.0,0,,2.14778,2.28546,0.17138,AZUL,567,,0.0,2020
73,CH,95418,C,25.0,0,,5.86603,1.02878,0.11527,AZUL,567,,0.0,2020
74,CH,111930,C,4.0,0,,2.63281,1.21099,0.28106,AZUL,567,,0.0,2020
75,CH,111919,C,11.0,0,,2.83963,1.08367,0.17694,AZUL,567,,0.0,2020
76,CH,63343,B,24.0,0,,1.6559,1.87439,0.19625,AZUL,567,,0.0,2020
77,CH,46932,A,23.0,0,,2.11017,1.58198,0.23073,AZUL,567,,0.0,2020
78,CH,38675,C,16.0,0,,3.98011,0.78922,0.18995,AZUL,567,,0.0,2020
79,CH,111945,D,18.0,0,,1.68186,0.1343,0.17621,AZUL,567,,0.0,2020
80,CH,111886,C,22.0,0,,1.63725,1.31747,0.18855,AZUL,567,,0.0,2020
81,CH,18425,C,11.0,0,,2.11495,1.84337,0.12869,AZUL,567,,0.0,2020
82,CH,96883,A,26.0,0,,2.73973,0.99387,0.26428,AZUL,567,,0.0,2020
83,CH,95904,D,15.0,0,,2.30836,1.49244,0.2204,AZUL,567,,0.0,2020
84,CH,95948,E,29.0,0,,2.20464,1.56358,0.14004,AZUL,567,,0.0,2020
85,CH,98153,B,21.0,0,,2.17784,1.21931,0.26503,AZUL,567,,0.0,2020
86,CH,45217,D,22.0,0,,3.55293,1.2341,0.18404,AZUL,567,,0.0,2020
87,CH,85886,E,24.0,0,,3.71752,1.25879,0.16922,AZUL,567,,0.0,2020
88,CH,112015,C,27.0,0,,1.02685,0.10876,0.19583,AZUL,567,,0.0,2020
89,CH,96190,D,1.0,0,,2.78486,0.55811,0.19808,AZUL,567,,0.0,2020
90,CH,111863,D,14.0,0,,1.02714,0.71578,0.17357,AZUL,567,,0.0,2020
91,CN,84184,D,3.0,0,,1.85393,0.63073,0.178,AZUL,597,,0.0,2020
92,CN,79124,D,19.0,0,,1.71246,-0.07547,0.17405,AZUL,597,,0.0,2020
93,CN,62745,B,5.0,0,,2.74421,1.55431,0.18593,AZUL,597,,0.0,2020
94,CN,60072,A,24.0,0,,4.35472,1.09202,0.14701,AZUL,597,,0.0,2020
95,CN,31244,C,4.0,0,,2.91476,1.12362,0.11243,AZUL,597,,0.0,2020
96,CN,17936,B,25.0,0,,3.01205,1.50249,0.18745,AZUL,597,,0.0,2020
97,CN,14966,D,9.0,0,,1.99076,0.67442,0.18662,AZUL,597,,0.0,2020
98,CN,59913,D,23.0,0,,2.29781,1.5026,0.13077,AZUL,597,,0.0,2020
99,CN,49867,D,20.0,0,,3.21388,1.90806,0.17205,AZUL,597,,0.0,2020
100,CN,76371,E,26.0,0,,2.39814,1.69946,0.19017,AZUL,597,,0.0,2020
101,CN,10035,C,16.0,0,,2.40418,0.72028,0.21294,AZUL,597,,0.0,2020
102,CN,79139,D,8.0,0,,3.31199,1.88363,0.1386,AZUL,597,,0.0,2020
103,CN,87702,A,10.0,0,,2.27533,1.8581,0.2625,AZUL,597,,0.0,2020
104,CN,95441,E,14.0,0,,3.0376,0.62392,0.2084,AZUL,597,,0.0,2020
